Product_ID,InRange
P00042242,3
P00042342,2
P00042442,0
P00042542,3
P00042742,41
P00042842,27
P00042942,9
P00043142,0
P00043242,2
P00043342,7
P00043442,0
P00043542,4
P00043642,3
P00043742,1
P00043842,4
P00043942,2
P00044042,1
P00044142,31
P00044242,0
P00044342,4
P00044442,3
P00044542,1
P00044642,3
P00044742,0
P00044842,1
P00044942,0
P00045042,3
P00045142,6
P00045242,0
P00045342,5
P00045442,0
P00045542,7
P00045642,1
P00045742,0
P00045842,15
P00045942,0
P00046042,0
P00046142,3
P00046242,11
P00046342,0
P00046442,12
P00046542,0
P00046642,3
P00046742,13
P00046842,9
P00046942,4
P00047042,2
P00047142,0
P00047242,11
P00047442,0
P00047542,1
P00047642,0
P00047742,2
P00047842,3
P00047942,19
P00048042,2
P00048142,2
P00048242,1
P00048342,1
P00048442,27
P00048542,2
P00048642,0
P00048742,23
P00048842,1
P00048942,3
P00049042,1
P00049142,2
P00049242,1
P00049342,5
P00049442,5
P00049542,25
P00049642,10
P00049742,0
P00049842,2
P00049942,0
P00050042,2
P00050142,10
P00050242,14
P00050342,4
P00050442,5
P00050542,2
P00050642,4
P00050742,8
P00050842,1
P00050942,1
P00051042,2
P00051142,13
P00051242,0
P00051442,46
P00051542,1
P00051642,32
P00051842,0
P00051942,10
P00052042,6
P00052142,17
P00052242,15
P00052342,3
P00052442,4
P00052542,7
P00052642,28
P00052742,8
P00052842,0
P00052942,2
P00053042,21
P00053142,0
P00053342,9
P00053442,0
P00053542,9
P00053642,1
P00053742,5
P00053842,0
P00053942,5
P00054042,0
P00054142,0
P00054242,1
P00054342,0
P00054442,0
P00054542,1
P00054642,0
P00054742,2
P00054842,1
P00054942,17
P00055142,4
P00055242,1
P00055342,1
P00055442,0
P00055542,2
P00055642,0
P00055742,0
P00055842,1
P00055942,0
P00056142,4
P00056242,0
P00056442,0
P00056542,0
P00056742,0
P00056842,0
P00057042,1
P00057242,7
P00057342,0
P00057442,39
P00057542,26
P00057642,7
P00057742,0
P00057942,10
P00058042,71
P00058142,15
P00058242,13
P00058342,9
P00058442,38
P00058642,0
P00058942,0
P00059042,1
P00059142,8
P00059242,0
P00059442,6
P00059542,0
P00059642,1
P00059742,3
P00059842,1
P00059942,4
P00060142,3
P00060242,6
P00060342,0
P00060442,0
P00060542,0
P00060642,1
P00060942,0
P00061042,5
P00061142,17
P00061342,0
P00061442,0
P00061542,0
P00061742,1
P00061842,3
P00061942,1
P00062042,1
P00062142,0
P00062642,0
P00062742,15
P00062842,18
P00062942,1
P00063042,3
P00063342,6
P00063542,1
P00063842,1
P00064042,15
P00064142,4
P00064242,4
P00064342,1
P00064442,1
P00064642,0
P00064742,0
P00064842,1
P00064942,3
P00065042,27
P00065242,0
P00065342,0
P00065442,9
P00065642,0
P00065742,0
P00065842,0
P00066142,0
P00066242,7
P00066442,6
P00066542,4
P00066642,4
P00066742,0
P00066942,2
P00067042,0
P00067142,2
P00067342,0
P00067542,0
P00067642,0
P00067842,0
P00067942,20
P00068042,6
P00068142,0
P00068242,0
P00068442,0
P00068542,1
P00068742,1
P00068842,2
P00068942,5
P00069042,3
P00069142,0
P00069242,7
P00069342,2
P00069542,9
P00069942,0
P00070042,11
P00070242,1
P00070342,17
P00070442,3
P00070542,2
P00070642,0
P00070742,0
P00070942,1
P00071142,0
P00071242,5
P00071342,0
P00071442,3
P00071542,0
P00071642,1
P00071742,0
P00071842,0
P00072142,1
P00072242,0
P00072342,1
P00072442,0
P00072542,2
P00072742,2
P00072842,1
P00072942,1
P00073042,1
P00073142,0
P00073242,1
P00073642,31
P00073742,0
P00073842,18
P00073942,6
P00074042,1
P00074142,18
P00074242,3
P00074342,27
P00074442,6
P00074642,19
P00075142,0
P00075342,1
P00075442,12
P00075542,22
P00075642,0
P00075742,18
P00075842,0
P00075942,2
P00076042,9
P00076142,4
P00076242,1
P00076342,0
P00076442,1
P00076542,0
P00076642,0
P00076742,0
P00077042,4
P00077142,0
P00077442,1
P00077542,0
P00077742,0
P00077842,1
P00077942,5
P00078042,0
P00078142,22
P00078242,1
P00078442,3
P00078542,2
P00078642,0
P00078742,20
P00078842,1
P00078942,0
P00079042,1
P00079142,0
P00079442,0
P00079542,0
P00079642,7
P00079742,18
P00079842,0
P00079942,3
P00080042,10
P00080342,2
P00080542,1
P00080642,3
P00080742,1
P00080842,1
P00080942,1
P00081142,3
P00081242,0
P00081442,1
P00081542,0
P00081742,0
P00081842,1
P00081942,0
P00082242,3
P00082342,10
P00082442,0
P00082542,3
P00082742,0
P00082842,0
P00083042,0
P00083242,2
P00083342,12
P00083442,1
P00083642,1
P00083742,0
P00083842,30
P00083942,0
P00084042,0
P00084142,3
P00084242,19
P00084342,0
P00084442,0
P00084542,15
P00084642,0
P00084742,5
P00084842,42
P00084942,19
P00085042,44
P00085142,19
P00085242,39
P00085342,0
P00085442,0
P00085542,21
P00085642,20
P00085742,0
P00085842,0
P00085942,0
P00086042,28
P00086142,12
P00086242,0
P00086342,14
P00086442,40
P00086542,0
P00086642,10
P00086742,6
P00086842,0
P00086942,0
P00087042,0
P00087142,0
P00087242,1
P00087342,17
P00087442,9
P00087542,1
P00087642,7
P00087742,2
P00087842,0
P00087942,0
P00088042,1
P00088142,0
P00088242,0
P00088342,8
P00088442,3
P00088542,13
P00088642,11
P00088742,5
P00088842,6
P00088942,12
P00089042,0
P00089142,21
P00089242,0
P00089342,9
P00089442,11
P00089542,26
P00089642,2
P00089742,1
P00089842,0
P00089942,4
P00090042,0
P00090142,0
P00090242,0
P00090342,0
P00090442,0
P00090542,0
P00090742,0
P00090842,15
P00090942,5
P00091042,3
P00091142,8
P00091342,1
P00091442,0
P00091642,3
P00091842,6
P00092142,4
P00092242,0
P00092442,0
P00092542,1
P00092642,1
P00092842,2
P00092942,7
P00093042,0
P00093242,15
P00093342,6
P00093442,1
P00093542,4
P00093642,3
P0009842,3
P0009942,7
P00100042,0
P00100142,0
P00100442,0
P00100542,0
P00100642,35
P00100742,11
P00100842,52
P00100942,45
P00101042,15
P00101142,6
P00101242,6
P00101342,0
P00101442,0
P00101542,0
P00101642,0
P00101742,0
P00101842,3
P00101942,37
P00102042,4
P00102142,0
P00102242,26
P00102342,45
P00102442,21
P00102542,8
P00102642,0
P00102742,0
P00102842,5
P00102942,10
P00103042,9
P00103142,0
P00103242,13
P00103342,11
P00103442,0
P00103542,0
P00103642,0
P00103742,0
P00103842,0
P00103942,1
P00104442,1
P00104542,16
P00104642,0
P00104742,0
P00104842,14
P00104942,11
P00105042,3
P00105142,14
P00105242,0
P00105342,6
P00105442,2
P00105542,4
P00105642,8
P00105942,7
P00106042,110
P00106642,0
P00106742,5
P00106942,4
P00107042,3
P00107142,1
P00107242,0
P00107442,0
P00107542,3
P00107642,3
P00107742,0
P00107842,0
P00108042,3
P00108242,0
P00108342,0
P00108442,19
P00108542,43
P00108642,4
P00108842,13
P00108942,7
P00109042,6
P00109142,6
P00109242,6
P00109342,0
P00109542,26
P00109642,4
P00109742,15
P00109842,16
P00109942,3
P00110042,33
P00110142,0
P00110242,4
P00110342,3
P00110442,0
P00110542,54
P00110642,13
P00110742,7
P00110842,5
P00110942,2
P00111042,4
P00111142,5
P00111242,3
P00111342,2
P00111442,17
P00111542,0
P00111642,2
P00111742,8
P00111842,27
P00111942,41
P00112042,0
P00112142,10
P00112242,11
P00112342,0
P00112442,3
P00112542,4
P00112642,10
P00112742,0
P00112842,8
P00112942,0
P00113042,42
P00113142,5
P00113242,6
P00113342,2
P00113442,5
P00113542,15
P00113642,53
P00113742,8
P00113842,2
P00113942,16
P00114042,65
P00114142,32
P00114242,0
P00114342,4
P00114442,59
P00114542,40
P00114642,6
P00114742,5
P00114842,18
P00114942,5
P00115042,2
P00115142,2
P00115242,21
P00115342,42
P00115442,13
P00115542,31
P00115642,52
P00115742,1
P00115842,4
P00115942,24
P00116042,9
P00116142,0
P00116242,12
P00116342,0
P00116442,1
P00116542,34
P00116642,29
P00116742,42
P00116842,0
P00116942,0
P00117042,6
P00117142,0
P00117242,21
P00117342,2
P00117442,123
P00117542,0
P00117642,0
P00117742,12
P00117842,42
P00117942,122
P00118042,22
P00118142,14
P00118242,6
P00118342,0
P00118442,4
P00118542,49
P00118642,2
P00118742,73
P00118842,5
P00118942,11
P00119042,9
P00119142,20
P00119242,0
P00119342,0
P00119442,38
P00119542,10
P00119642,2
P00119742,54
P00119842,1
P00119942,5
P00120042,5
P00120142,29
P00120242,16
P00120342,52
P00120442,15
P00120542,16
P00120642,17
P00120742,13
P00120842,23
P00120942,16
P00121042,4
P00121142,17
P00121242,0
P00121342,1
P00121442,1
P00121542,3
P00121642,74
P00121742,0
P00121842,0
P00121942,1
P00122042,0
P00122342,1
P00122442,15
P00122542,6
P00122642,0
P00122742,0
P00122842,0
P00122942,0
P00123042,0
P00123142,3
P00123242,0
P00123342,1
P00123442,2
P00123542,1
P00123642,0
P00123742,12
P00123842,2
P00123942,1
P00124042,0
P00124142,0
P00124242,8
P00124342,7
P00124442,0
P00124542,0
P00124642,6
P00124742,0
P00124842,7
P00124942,1
P00125042,6
P00125142,15
P00125242,1
P00125342,9
P00125442,0
P00125542,3
P00125642,2
P00125742,8
P00125842,0
P00125942,12
P00126042,21
P00126142,39
P00126242,0
P00126442,1
P00126542,3
P00126642,0
P00126842,2
P00126942,2
P00127042,0
P00127142,1
P00127242,11
P00127342,15
P00127442,8
P00127542,5
P00127642,6
P00127742,7
P00127842,6
P00127942,17
P00128042,4
P00128142,4
P00128242,42
P00128342,0
P00128442,1
P00128542,1
P00128742,6
P00128942,9
P00129042,8
P00129142,3
P00129242,4
P00129342,16
P00129442,11
P00129542,58
P00129642,67
P00129742,7
P00129842,4
P00129942,1
P00130042,1
P00130142,5
P00130242,2
P00130342,0
P00130442,19
P00130542,0
P00130642,13
P00130742,11
P00130842,6
P00130942,2
P00131042,15
P00131142,1
P00131242,2
P00131342,6
P00131442,0
P00131542,6
P00131642,1
P00131742,2
P00131842,0
P00131942,1
P00132042,0
P00132242,0
P00132342,0
P00132442,2
P00132542,0
P00132642,6
P00132842,8
P00132942,2
P00133242,1
P00133342,2
P00133442,3
P00133542,1
P00133642,0
P00133742,16
P00133842,1
P00134042,1
P00134142,7
P00134242,0
P00134342,18
P00134442,0
P00134542,1
P00134642,3
P00134842,0
P00134942,3
P00135042,1
P00135142,0
P00135242,0
P00135342,1
P00135442,0
P00135542,0
P00135642,5
P00135742,5
P00135842,3
P00136142,0
P00136242,1
P00136342,0
P00136442,2
P00136542,19
P00136642,0
P00136742,8
P00136842,2
P00136942,1
P00137042,1
P00137142,0
P00137242,23
P00137442,3
P00137542,4
P00137642,3
P00137742,1
P00137842,0
P00137942,0
P00138042,0
P00138142,0
P00138242,1
P00138342,6
P00138442,9
P00138542,49
P00138642,0
P00138742,0
P00138842,0
P00139042,2
P00139142,1
P00139242,1
P00139442,0
P00139542,16
P00139742,3
P00139842,3
P00139942,42
P00140042,5
P00140242,2
P00140442,4
P00140542,3
P00140642,1
P00140742,6
P00141042,0
P00141142,0
P00141242,2
P00141442,2
P00141542,24
P00141742,0
P00141842,8
P00141942,4
P00142042,1
P00142142,21
P00142242,3
P00142342,3
P00142442,0
P00142642,0
P00142742,0
P00142842,0
P00142942,11
P00143142,3
P00143342,8
P00143542,0
P00143642,21
P00143742,0
P00143842,1
P00143942,0
P00144042,0
P00144242,23
P00144342,0
P00144442,2
P00144542,0
P00144642,16
P00144742,1
P00144842,0
P00145042,14
P00145142,1
P00145242,0
P00145342,0
P00145442,49
P00145542,1
P00145642,4
P00145742,3
P00145842,0
P00145942,7
P00146042,16
P00146142,12
P00146242,0
P00146342,0
P00146442,9
P00146542,0
P00146642,1
P00146742,8
P00146842,3
P00146942,0
P00147042,1
P00147142,1
P00147242,0
P00147342,6
P00147442,2
P00147542,0
P00147642,3
P00147742,7
P00147842,0
P00147942,5
P00148042,2
P00148242,0
P00148342,15
P00148442,0
P00148542,9
P00148642,2
P00148742,12
P00148842,3
P00148942,3
P00149142,0
P00149242,0
P00149342,0
P00149442,2
P00149542,3
P00149642,1
P00149842,0
P00149942,1
P00150042,9
P00150142,18
P00150342,33
P00150442,2
P00150542,62
P00150642,0
P00150742,11
P00150842,0
P00150942,7
P00151042,0
P00151142,3
P00151242,6
P00151342,2
P00151442,2
P00151542,0
P00151742,34
P00151842,0
P00151942,1
P00152242,2
P00152442,9
P00152542,1
P00152642,0
P00152742,26
P00152942,3
P00153042,1
P00153142,3
P00153242,0
P00153342,0
P00153442,4
P00153642,12
P00153742,36
P00153842,45
P00154042,16
P00154142,0
P00154242,16
P00154342,0
P00154442,22
P00154542,2
P00154642,39
P00154742,14
P00154842,1
P00155042,1
P00155142,7
P00155242,7
P00155342,5
P00155442,11
P00155542,0
P00155642,10
P00155742,16
P00155842,1
P00155942,0
P00156042,6
P00156142,6
P00156242,0
P00156342,0
P00156442,49
P00156542,0
P00156742,11
P00156842,0
P00157042,0
P00157142,3
P00157242,1
P00157342,7
P00157542,40
P00157642,6
P00157842,0
P00157942,3
P00158042,4
P00158142,0
P00158242,3
P00158342,9
P00158442,0
P00158542,41
P00158642,2
P00158742,9
P00158842,6
P00158942,1
P00159142,0
P00159242,1
P00159342,0
P00159442,29
P00159542,0
P00159742,0
P00159842,8
P00159942,3
P00160042,7
P00160142,1
P00160242,0
P00160342,3
P00160442,2
P00160542,0
P00160642,5
P00160842,1
P00160942,6
P00161042,0
P00161142,1
P00161242,8
P00161342,0
P00161442,29
P00161542,0
P00161742,0
P00161842,0
P00161942,64
P00162042,3
P00162242,2
P00162342,0
P00162442,4
P00162542,0
P00162642,3
P00162842,0
P00162942,0
P00163042,2
P00163142,2
P00163242,8
P00163342,2
P00163442,4
P00163542,0
P00163742,1
P00163842,14
P00163942,1
P00164042,0
P00164142,1
P00164342,1
P00164642,2
P00164742,0
P00164842,3
P00164942,1
P00165042,0
P00165142,6
P00165242,0
P00165442,15
P00165642,4
P00165742,20
P00165842,6
P00165942,2
P00166042,1
P00166142,0
P00166242,7
P00166342,1
P00166642,2
P00166742,14
P00166842,0
P00166942,0
P00167142,1
P00167442,0
P00167542,2
P00167642,2
P00167742,0
P00167842,1
P00167942,1
P00168042,1
P00168142,3
P00168342,0
P00168442,0
P00168542,1
P00168642,3
P00168742,0
P00168842,1
P00169042,2
P00169142,4
P00169442,8
P00169542,0
P00169642,1
P00169742,13
P00169942,0
P00170042,1
P00170142,2
P00170242,0
P00170342,13
P00170442,25
P00170542,5
P00170642,22
P00170842,0
P00170942,5
P00171042,0
P00171142,0
P00171242,0
P00171342,0
P00171442,1
P00171542,0
P00171642,9
P00171742,1
P00171842,4
P00171942,1
P00172142,1
P00172342,1
P00172542,4
P00172742,1
P00172842,12
P00173042,0
P00173142,0
P00173242,9
P00173342,7
P00173442,4
P00173542,10
P00173742,3
P00173842,25
P00173942,14
P00174042,0
P00174142,16
P00174242,5
P00174342,1
P00174442,68
P00174542,1
P00174642,1
P00174742,0
P00174842,3
P00174942,0
P00175042,6
P00175242,0
P00175342,0
P00175442,1
P00175542,4
P00175642,7
P00175742,3
P00175842,2
P00175942,4
P00176042,6
P00176142,2
P00176242,3
P00176342,3
P00176442,2
P00176542,16
P00176642,0
P00176742,7
P00176842,0
P00176942,8
P00177042,3
P00177142,15
P00177242,0
P00177342,24
P00177442,1
P00177542,5
P00177642,24
P00177742,17
P00177842,16
P00177942,23
P00178042,16
P00178142,29
P00178242,50
P00178342,22
P00178442,12
P00178542,14
P00178642,23
P00178742,6
P00178842,0
P00178942,65
P00179042,1
P00179142,0
P00179242,1
P00179342,0
P00179442,1
P00179542,3
P00179642,1
P00179742,0
P00179842,0
P00179942,0
P00180042,0
P00180142,0
P00180242,1
P00180342,13
P00180442,3
P00180542,0
P00180642,2
P00180742,0
P00180842,0
P00180942,0
P00181042,0
P00181142,0
P00181242,4
P00181342,0
P00181442,0
P00181542,13
P00181642,0
P00181742,1
P00181842,22
P00181942,0
P00182042,1
P00182142,7
P00182242,10
P00182342,12
P00182442,7
P00182542,4
P00182642,0
P00182742,4
P00182842,1
P00182942,0
P00183042,3
P00183142,0
P00183242,31
P00183342,17
P00183442,6
P00183542,0
P00183642,0
P00183742,0
P00183842,0
P00183942,12
P00184042,1
P00184142,22
P00184242,0
P00184342,9
P00184442,8
P00184542,3
P00184642,7
P00184742,1
P00184842,1
P00184942,3
P00185042,5
P00185142,0
P00185242,0
P00185342,5
P00185442,4
P00185542,0
P00185642,0
P00185742,0
P00185842,0
P00186042,0
P00186142,0
P00186242,0
P00186342,0
P00186442,1
P00186542,0
P00186642,0
P00186742,0
P00186842,2
P00186942,2
P00187042,0
P00187142,0
P00187242,0
P00187342,0
P00187442,0
P00187642,0
P00187742,0
P00187842,7
P00187942,0
P00188042,3
P00188242,3
P00188342,0
P00188442,40
P00188542,25
P00188642,0
P00188742,26
P00188842,4
P00188942,6
P00189042,4
P00189142,9
P00189242,2
P00189342,5
P00189442,0
P00189542,6
P00189642,21
P00189742,0
P00189842,14
P00189942,0
P00190042,16
P00190142,18
P00190242,0
P00190342,0
P00190442,0
P00190542,12
P00190742,16
P00190842,0
P00190942,7
P00191042,7
P00191142,0
P00191242,3
P00191342,0
P00191442,18
P00191542,0
P00191642,15
P00191742,0
P00191842,0
P00191942,0
P00192042,30
P00192142,0
P00192242,6
P00192342,0
P00192442,0
P00192542,15
P00192642,4
P00192742,2
P00192842,27
P00192942,25
P00193042,9
P00193142,8
P00193242,8
P00193342,0
P00193442,8
P00193542,8
P00193642,0
P00193742,3
P00193842,6
P00193942,0
P00194042,4
P00194142,0
P00194242,0
P00194342,5
P00194442,13
P00194542,22
P00194642,10
P00194842,1
P00194942,0
P00195042,0
P00195142,1
P00195242,6
P00195342,0
P00195442,15
P00195542,0
P00195642,5
P00195742,11
P00195842,12
P00195942,8
P00196042,0
P00196142,16
P00196242,5
P00196342,0
P00196442,18
P00196542,16
P00196642,7
P00196742,3
P00196842,3
P00196942,0
P00197042,28
P00197142,4
P00197242,0
P00197342,4
P00197442,3
P00197542,10
P00197742,1
P00197842,1
P00197942,4
P00198042,20
P00198142,0
P00198242,0
P00198342,2
P00198442,0
P00198542,3
P00198642,4
P00198742,12
P00198842,2
P00198942,1
P00199042,1
P00199142,3
P00199342,0
P00199442,51
P00199642,0
P00199742,1
P00199842,0
P00199942,1
P00200042,0
P00200142,1
P00200242,7
P00200342,0
P00200442,0
P00200642,0
P00200742,0
P00200842,5
P00200942,2
P00201042,0
P00201142,0
P00201342,7
P00201442,3
P00201542,8
P00201642,0
P00201742,0
P00201942,0
P00202042,0
P00202142,9
P00202242,0
P00202342,0
P00202442,3
P00202542,0
P00202742,16
P00202942,0
P00203142,0
P00203442,0
P00203742,0
P00203942,0
P00204142,1
P00204242,2
P00204342,3
P00204542,0
P00204742,7
P00204842,1
P00204942,3
P00205042,4
P00205142,5
P00205242,2
P00205342,0
P00205442,25
P00205642,9
P00205742,0
P00205842,4
P00205942,32
P00206042,9
P00206142,1
P00206342,2
P00206442,12
P00206642,0
P00206742,0
P00206842,0
P00207042,2
P00207142,1
P00207242,3
P00207342,6
P00207442,3
P00207542,1
P00207642,0
P00207742,1
P00207842,0
P00207942,3
P00208042,4
P00208142,2
P00208242,4
P00208342,4
P00208442,1
P00208542,3
P00208742,7
P00208842,1
P00208942,0
P00209142,7
P00209242,2
P00209342,1
P00209442,0
P00209542,0
P00209642,2
P00209742,4
P00209842,32
P00209942,1
P00210042,49
P00210142,0
P00210242,0
P00210342,16
P00210442,4
P00210542,2
P00210642,10
P00210742,1
P00210942,32
P00211042,7
P00211142,33
P00211242,10
P00211442,2
P00211542,3
P00211642,0
P00211942,3
P00212042,0
P00212142,6
P00212242,19
P00212342,1
P00212442,1
P00212542,5
P00212642,0
P00212742,16
P00212842,3
P00212942,50
P00213042,7
P00213142,0
P00213242,71
P00213342,2
P00213442,0
P00213542,0
P00213642,1
P00213742,19
P00213842,0
P00213942,2
P00214142,20
P00214242,7
P00214342,12
P00214442,25
P00214542,3
P00214642,0
P00214742,0
P00214842,5
P00214942,2
P00215042,0
P00215142,0
P00215242,1
P00215342,2
P00215442,4
P00215542,1
P00215642,14
P00215742,5
P00215842,2
P00215942,2
P00216042,32
P00216142,5
P00216242,3
P00216342,40
P00216442,2
P00216542,7
P00216742,26
P00216842,2
P00216942,4
P00217042,0
P00217142,5
P00217242,3
P00217342,2
P00217442,3
P00217542,3
P00217642,0
P00217742,11
P00217842,1
P00217942,15
P00218042,8
P00218142,3
P00218242,4
P00218342,5
P00218442,6
P00218542,1
P00218642,6
P00218742,0
P00218842,0
P00218942,2
P00219042,0
P00219142,0
P00219242,0
P00219342,3
P00219442,0
P00219542,2
P00219642,1
P00219742,7
P00219842,10
P00219942,2
P00220042,2
P00220142,13
P00220242,18
P00220342,43
P00220442,136
P00220542,1
P00220642,9
P00220742,0
P00220842,0
P00220942,0
P00221042,7
P00221142,4
P00221242,7
P00221342,10
P00221442,7
P00221542,27
P00221642,2
P00221742,5
P00221842,12
P00221942,6
P00222042,9
P00222142,9
P00222242,2
P00222342,1
P00222442,8
P00222542,1
P00222642,5
P00222742,1
P00222842,15
P00222942,4
P00223042,5
P00223142,20
P00223242,30
P00223342,0
P00223542,14
P00223642,2
P00223742,0
P00223842,0
P00223942,11
P00224042,6
P00224142,16
P00224242,0
P00224342,1
P00224442,3
P00224542,3
P00224742,6
P00224842,4
P00224942,0
P00225042,8
P00225142,4
P00225342,0
P00225442,1
P00225542,4
P00225642,0
P00225742,0
P00225842,0
P00225942,0
P00226042,0
P00226142,4
P00226242,1
P00226342,9
P00226442,1
P00226542,3
P00226642,0
P00226742,0
P00226842,1
P00226942,0
P00227042,0
P00227142,15
P00227342,0
P00227542,0
P00227642,7
P00227742,13
P00227842,0
P00227942,0
P00228042,1
P00228142,2
P00228242,7
P00228342,4
P00228442,3
P00228542,0
P00228642,15
P00228742,1
P00228842,0
P00228942,2
P00229042,1
P00229142,1
P00229342,6
P00229442,0
P00229642,4
P00229742,4
P00229842,3
P00229942,3
P00230042,0
P00230142,0
P00230242,2
P00230342,14
P00230442,2
P00230542,1
P00230642,2
P00230742,3
P00230842,26
P00230942,34
P00231042,0
P00231142,1
P00231242,8
P00231342,4
P00231442,0
P00231742,0
P00231842,0
P00231942,3
P00232042,0
P00232142,0
P00232242,0
P00232342,0
P00232442,12
P00232542,1
P00232642,7
P00232742,0
P00232842,0
